location,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
W Park Mall MO 63703,37.298932,-89.574442,1.0,street_center,,W Park Mall,,,Cape Girardeau,MO,Cape Girardeau County,63703,US,TIGER/Line® dataset from the US Census Bureau
2812 Hazel St MO 64836,37.140138,-94.319482,1.0,range_interpolation,2812.0,Hazel St,,,Carthage,MO,Jasper County,64836,US,TIGER/Line® dataset from the US Census Bureau
1111 W Central Ave MO 64836,37.178726,-94.324652,0.9,range_interpolation,1111.0,W Central Ave,,,Carthage,MO,Jasper County,64836,US,TIGER/Line® dataset from the US Census Bureau
2812 Hazel St MO 64836,37.140138,-94.319482,1.0,range_interpolation,2812.0,Hazel St,,,Carthage,MO,Jasper County,64836,US,TIGER/Line® dataset from the US Census Bureau
1111 W Central Ave MO 64836,37.178726,-94.324652,0.9,range_interpolation,1111.0,W Central Ave,,,Carthage,MO,Jasper County,64836,US,TIGER/Line® dataset from the US Census Bureau
Jackson St MO 64601,39.793553,-93.551076,1.0,street_center,,Jackson St,,,Chillicothe,MO,Livingston County,64601,US,TIGER/Line® dataset from the US Census Bureau
810 W Business 36 MO 64601,39.795225,-93.588876,0.33,place,,,,,Chillicothe,MO,Livingston County,64601,US,TIGER/Line® dataset from the US Census Bureau
Jackson St MO 64601,39.793553,-93.551076,1.0,street_center,,Jackson St,,,Chillicothe,MO,Livingston County,64601,US,TIGER/Line® dataset from the US Census Bureau
810 W Business 36 MO 64601,39.795225,-93.588876,0.33,place,,,,,Chillicothe,MO,Livingston County,64601,US,TIGER/Line® dataset from the US Census Bureau
415 Conley Rd MO 65201,38.954901,-92.296588,1.0,rooftop,415.0,Conley Rd,,,Columbia,MO,Boone County,65201,US,Boone
909 Lowry St MO 65201,38.945189,-92.32748199999999,1.0,range_interpolation,909.0,Lowry St,,,Columbia,MO,Boone County,65201,US,TIGER/Line® dataset from the US Census Bureau
500 E Nifong Blvd MO 65201,38.909554,-92.332705,1.0,rooftop,500.0,E Nifong Blvd,,,Columbia,MO,Boone County,65201,US,Boone
3206 Clark Ln MO 65202,38.963254,-92.28992099999999,1.0,rooftop,3206.0,Clark Ln,,,Columbia,MO,Boone County,65202,US,Boone
1012 Smiley Ln MO 65202,38.992745,-92.324348,1.0,rooftop,1012.0,Smiley Ln,,,Columbia,MO,Boone County,65202,US,Boone
205 Basin Dr MO 65203,38.959209,-92.381953,1.0,rooftop,205.0,Basin Dr,,,Columbia,MO,Boone County,65203,US,Boone
415 Conley Rd MO 65201,38.954901,-92.296588,1.0,rooftop,415.0,Conley Rd,,,Columbia,MO,Boone County,65201,US,Boone
909 Lowry St MO 65201,38.945189,-92.32748199999999,1.0,range_interpolation,909.0,Lowry St,,,Columbia,MO,Boone County,65201,US,TIGER/Line® dataset from the US Census Bureau
500 E Nifong Blvd MO 65201,38.909554,-92.332705,1.0,rooftop,500.0,E Nifong Blvd,,,Columbia,MO,Boone County,65201,US,Boone
3206 Clark Ln MO 65202,38.963254,-92.28992099999999,1.0,rooftop,3206.0,Clark Ln,,,Columbia,MO,Boone County,65202,US,Boone
1012 Smiley Ln MO 65202,38.992745,-92.324348,1.0,rooftop,1012.0,Smiley Ln,,,Columbia,MO,Boone County,65202,US,Boone
205 Basin Dr MO 65203,38.959209,-92.381953,1.0,rooftop,205.0,Basin Dr,,,Columbia,MO,Boone County,65203,US,Boone
119 Crown Hill Rd MO 64024,39.338702000000005,-94.24901700000001,1.0,range_interpolation,119.0,Crown Hill Rd,,,Excelsior Springs,MO,Clay County,64024,US,TIGER/Line® dataset from the US Census Bureau
2221 Happy Ln MO 64024,39.332601000000004,-94.274632,0.22,place,,,,,Excelsior Springs,MO,Clay County,64024,US,TIGER/Line® dataset from the US Census Bureau
119 Crown Hill Rd MO 64024,39.338702000000005,-94.24901700000001,1.0,range_interpolation,119.0,Crown Hill Rd,,,Excelsior Springs,MO,Clay County,64024,US,TIGER/Line® dataset from the US Census Bureau
2221 Happy Ln MO 64024,39.332601000000004,-94.274632,0.22,place,,,,,Excelsior Springs,MO,Clay County,64024,US,TIGER/Line® dataset from the US Census Bureau
1700 W Columbia St MO 63640,37.771109,-90.446821,1.0,range_interpolation,1700.0,W Columbia St,,,Farmington,MO,St. Francois County,63640,US,TIGER/Line® dataset from the US Census Bureau
207 W Karsch Blvd MO 63640,37.788105,-90.422852,1.0,range_interpolation,207.0,W Karsch Blvd,,,Farmington,MO,St. Francois County,63640,US,TIGER/Line® dataset from the US Census Bureau
426 Yellowstone Dr MO 63640,37.792025,-90.430435,1.0,range_interpolation,426.0,Yellowstone Dr,,,Farmington,MO,St. Francois County,63640,US,TIGER/Line® dataset from the US Census Bureau
1700 W Columbia St MO 63640,37.771109,-90.446821,1.0,range_interpolation,1700.0,W Columbia St,,,Farmington,MO,St. Francois County,63640,US,TIGER/Line® dataset from the US Census Bureau
207 W Karsch Blvd MO 63640,37.788105,-90.422852,1.0,range_interpolation,207.0,W Karsch Blvd,,,Farmington,MO,St. Francois County,63640,US,TIGER/Line® dataset from the US Census Bureau
426 Yellowstone Dr MO 63640,37.792025,-90.430435,1.0,range_interpolation,426.0,Yellowstone Dr,,,Farmington,MO,St. Francois County,63640,US,TIGER/Line® dataset from the US Census Bureau
1150 E Gannon Dr MO 63028,38.209369,-90.401843,1.0,range_interpolation,1150.0,E Gannon Dr,,,Festus,MO,Jefferson County,63028,US,TIGER/Line® dataset from the US Census Bureau
515 S Truman Blvd MO 63028,38.215018,-90.387496,0.9,range_interpolation,515.0,S Truman Blvd,,,Festus,MO,Jefferson County,63028,US,TIGER/Line® dataset from the US Census Bureau
650 S Truman Blvd MO 63028,38.212715,-90.390964,1.0,range_interpolation,650.0,S Truman Blvd,,,Festus,MO,Jefferson County,63028,US,TIGER/Line® dataset from the US Census Bureau
1150 E Gannon Dr MO 63028,38.209369,-90.401843,1.0,range_interpolation,1150.0,E Gannon Dr,,,Festus,MO,Jefferson County,63028,US,TIGER/Line® dataset from the US Census Bureau
515 S Truman Blvd MO 63028,38.215018,-90.387496,0.9,range_interpolation,515.0,S Truman Blvd,,,Festus,MO,Jefferson County,63028,US,TIGER/Line® dataset from the US Census Bureau
650 S Truman Blvd MO 63028,38.212715,-90.390964,1.0,range_interpolation,650.0,S Truman Blvd,,,Festus,MO,Jefferson County,63028,US,TIGER/Line® dataset from the US Census Bureau
12407 Blue Ridge Ext MO 64030,38.900422999999996,-94.532318,1.0,rooftop,12407.0,Blue Ridge Ext,,,Grandview,MO,Jackson County,64030,US,Jackson
5100 Harry Truman Dr MO 64030,38.89934,-94.533001,1.0,range_interpolation,5100.0,Harry Truman Dr,,,Grandview,MO,Jackson County,64030,US,TIGER/Line® dataset from the US Census Bureau
12407 Blue Ridge Ext MO 64030,38.900422999999996,-94.532318,1.0,rooftop,12407.0,Blue Ridge Ext,,,Grandview,MO,Jackson County,64030,US,Jackson
5100 Harry Truman Dr MO 64030,38.89934,-94.533001,1.0,range_interpolation,5100.0,Harry Truman Dr,,,Grandview,MO,Jackson County,64030,US,TIGER/Line® dataset from the US Census Bureau
1865 Highway 13 MO 64037,39.063373999999996,-93.74083,0.33,place,,,,,Higginsville,MO,Lafayette County,64037,US,TIGER/Line® dataset from the US Census Bureau
6676 Hwy 13 MO 64037,39.003561,-93.7351,1.0,range_interpolation,6676.0,S Hwy 13,,,Higginsville,MO,Lafayette County,64037,US,TIGER/Line® dataset from the US Census Bureau
1865 Highway 13 MO 64037,39.063373999999996,-93.74083,0.33,place,,,,,Higginsville,MO,Lafayette County,64037,US,TIGER/Line® dataset from the US Census Bureau
6676 Hwy 13 MO 64037,39.003561,-93.7351,1.0,range_interpolation,6676.0,S Hwy 13,,,Higginsville,MO,Lafayette County,64037,US,TIGER/Line® dataset from the US Census Bureau
11115 E 23rd St S MO 64052,39.079953,-94.446526,1.0,rooftop,11115.0,E 23rd St S,,,Independence,MO,Jackson County,64052,US,Jackson
11700 Us 24 MO 64054,39.102509999999995,-94.436803,1.0,rooftop,11700.0,E US 24 Hwy,,,Independence,MO,Jackson County,64054,US,Jackson
1401 S Noland Rd MO 64055,39.075207,-94.413669,1.0,rooftop,1401.0,S Noland Rd,,,Independence,MO,Jackson County,64055,US,Jackson
1115 E 23rd St S MO 64055,39.07853,-94.401387,1.0,range_interpolation,1115.0,E 23rd St S,,,Independence,MO,Jackson County,64055,US,TIGER/Line® dataset from the US Census Bureau
11801 E Us-40 MO 64055,39.045738,-94.441074,0.85,rooftop,11801.0,E US 40 Hwy,,,Independence,MO,Jackson County,64052,US,City of Kansas City
16802 Gudgell Rd MO 64055,39.071981,-94.379692,1.0,range_interpolation,16802.0,Gudgell Rd,,,Independence,MO,Jackson County,64055,US,TIGER/Line® dataset from the US Census Bureau
4226 S Noland Rd MO 64055,39.043189,-94.41564100000001,1.0,rooftop,4226.0,S Noland Rd,,,Independence,MO,Jackson County,64055,US,Jackson
18910 Us 40 MO 64055,39.032112,-94.35651899999999,1.0,rooftop,18910.0,E US 40 Hwy,,,Independence,MO,Jackson County,64055,US,Jackson
4000 Bolger Rd MO 64055,39.052246999999994,-94.372511,1.0,range_interpolation,4000.0,Bolger Rd,,,Independence,MO,Jackson County,64055,US,TIGER/Line® dataset from the US Census Bureau
3921 Bolger Rd MO 64055,39.047472,-94.36565300000001,0.9,rooftop,3921.0,S Bolger Rd,,,Independence,MO,Jackson County,64055,US,Jackson
16235 Us 24 E MO 64056,39.117277,-94.38265899999999,1.0,rooftop,16235.0,E US 24 Hwy,,,Independence,MO,Jackson County,64056,US,Jackson
11115 E 23rd St S MO 64052,39.079953,-94.446526,1.0,rooftop,11115.0,E 23rd St S,,,Independence,MO,Jackson County,64052,US,Jackson
11700 Us 24 MO 64054,39.102509999999995,-94.436803,1.0,rooftop,11700.0,E US 24 Hwy,,,Independence,MO,Jackson County,64054,US,Jackson
1401 S Noland Rd MO 64055,39.075207,-94.413669,1.0,rooftop,1401.0,S Noland Rd,,,Independence,MO,Jackson County,64055,US,Jackson
1115 E 23rd St S MO 64055,39.07853,-94.401387,1.0,range_interpolation,1115.0,E 23rd St S,,,Independence,MO,Jackson County,64055,US,TIGER/Line® dataset from the US Census Bureau
11801 E Us-40 MO 64055,39.045738,-94.441074,0.85,rooftop,11801.0,E US 40 Hwy,,,Independence,MO,Jackson County,64052,US,City of Kansas City
16802 Gudgell Rd MO 64055,39.071981,-94.379692,1.0,range_interpolation,16802.0,Gudgell Rd,,,Independence,MO,Jackson County,64055,US,TIGER/Line® dataset from the US Census Bureau
4226 S Noland Rd MO 64055,39.043189,-94.41564100000001,1.0,rooftop,4226.0,S Noland Rd,,,Independence,MO,Jackson County,64055,US,Jackson
18910 Us 40 MO 64055,39.032112,-94.35651899999999,1.0,rooftop,18910.0,E US 40 Hwy,,,Independence,MO,Jackson County,64055,US,Jackson
4000 Bolger Rd MO 64055,39.052246999999994,-94.372511,1.0,range_interpolation,4000.0,Bolger Rd,,,Independence,MO,Jackson County,64055,US,TIGER/Line® dataset from the US Census Bureau
3921 Bolger Rd MO 64055,39.047472,-94.36565300000001,0.9,rooftop,3921.0,S Bolger Rd,,,Independence,MO,Jackson County,64055,US,Jackson
16235 Us 24 E MO 64056,39.117277,-94.38265899999999,1.0,rooftop,16235.0,E US 24 Hwy,,,Independence,MO,Jackson County,64056,US,Jackson
815 Eastland Dr MO 65101,38.54953,-92.149665,1.0,rooftop,815.0,Eastland Dr,,,Jefferson City,MO,Cole County,65101,US,Cole
219 E Dunklin St MO 65101,38.57163,-92.174964,1.0,rooftop,219.0,E Dunklin St,,,Jefferson City,MO,Cole County,65101,US,Cole
1406 Missouri Blvd MO 65109,38.579288,-92.193426,1.0,rooftop,1406.0,Missouri Blvd,,,Jefferson City,MO,Cole County,65109,US,Cole
1918 Jefferson St MO 65109,38.553186,-92.199536,1.0,rooftop,1918.0,Jefferson St,,,Jefferson City,MO,Cole County,65109,US,Cole
3124 S 10 Mile Dr MO 65109,38.580579,-92.235171,1.0,rooftop,3124.0,S 10 Mile Dr,,,Jefferson City,MO,Cole County,65109,US,Cole
1425 Missouri Blvd MO 65109,38.579114000000004,-92.195151,1.0,rooftop,1425.0,Missouri Blvd,,,Jefferson City,MO,Cole County,65109,US,Cole
724 W Stadium Blvd MO 65109,38.580086,-92.21929200000001,1.0,rooftop,724.0,W Stadium Blvd,,,Jefferson City,MO,Cole County,65109,US,Cole
2003 Southridge Dr MO 65109,38.550733,-92.205236,1.0,rooftop,2003.0,Southridge Dr,,,Jefferson City,MO,Cole County,65109,US,Cole
815 Eastland Dr MO 65101,38.54953,-92.149665,1.0,rooftop,815.0,Eastland Dr,,,Jefferson City,MO,Cole County,65101,US,Cole
219 E Dunklin St MO 65101,38.57163,-92.174964,1.0,rooftop,219.0,E Dunklin St,,,Jefferson City,MO,Cole County,65101,US,Cole
1406 Missouri Blvd MO 65109,38.579288,-92.193426,1.0,rooftop,1406.0,Missouri Blvd,,,Jefferson City,MO,Cole County,65109,US,Cole
1918 Jefferson St MO 65109,38.553186,-92.199536,1.0,rooftop,1918.0,Jefferson St,,,Jefferson City,MO,Cole County,65109,US,Cole
3124 S 10 Mile Dr MO 65109,38.580579,-92.235171,1.0,rooftop,3124.0,S 10 Mile Dr,,,Jefferson City,MO,Cole County,65109,US,Cole
1425 Missouri Blvd MO 65109,38.579114000000004,-92.195151,1.0,rooftop,1425.0,Missouri Blvd,,,Jefferson City,MO,Cole County,65109,US,Cole
724 W Stadium Blvd MO 65109,38.580086,-92.21929200000001,1.0,rooftop,724.0,W Stadium Blvd,,,Jefferson City,MO,Cole County,65109,US,Cole
2003 Southridge Dr MO 65109,38.550733,-92.205236,1.0,rooftop,2003.0,Southridge Dr,,,Jefferson City,MO,Cole County,65109,US,Cole
1531 W 7th St MO 64801,37.084975,-94.53068499999999,0.9,rooftop,1531.0,W 7th St Apt,,,Joplin,MO,Jasper County,64801,US,City of Joplin
2701 N Main St MO 64801,37.114956,-94.50954399999999,1.0,range_interpolation,2701.0,N Main St,,,Joplin,MO,Jasper County,64801,US,TIGER/Line® dataset from the US Census Bureau
101 N Range Line Rd MO 64801,37.090685,-94.47699300000001,1.0,range_interpolation,101.0,N Range Line Rd,,,Joplin,MO,Jasper County,64801,US,TIGER/Line® dataset from the US Census Bureau
1123 S Range Line Rd MO 64801,37.079136,-94.477335,1.0,range_interpolation,1123.0,S Range Line Rd,,,Joplin,MO,Jasper County,64801,US,TIGER/Line® dataset from the US Census Bureau
3330 N Range Line Rd MO 64801,37.118959000000004,-94.475985,1.0,range_interpolation,3330.0,N Range Line Rd,,,Joplin,MO,Jasper County,64801,US,TIGER/Line® dataset from the US Census Bureau
2731 S Main St MO 64804,37.060157000000004,-94.514191,1.0,rooftop,2731.0,S Main St,,,Joplin,MO,Jasper County,64804,US,City of Joplin
1501 S Range Line Rd MO 64804,37.073063,-94.477141,0.84,nearest_rooftop_match,1531.0,S Range Line Rd,,,Joplin,MO,Jasper County,64804,US,City of Joplin
4436 Highway 43 MO 64804,37.053437,-94.514813,0.6,street_center,,I-44 Business,,,Joplin,MO,Newton County,64804,US,TIGER/Line® dataset from the US Census Bureau
3140 Mc Clelland Blvd MO 64804,37.055898,-94.53275500000001,1.0,range_interpolation,3140.0,Mc Clelland Blvd,,,Joplin,MO,Jasper County,64804,US,TIGER/Line® dataset from the US Census Bureau
1907 E 20th St MO 64804,37.069705,-94.493611,1.0,rooftop,1907.0,E 20th St,,,Joplin,MO,Jasper County,64804,US,City of Joplin
1531 W 7th St MO 64801,37.084975,-94.53068499999999,0.9,rooftop,1531.0,W 7th St Apt,,,Joplin,MO,Jasper County,64801,US,City of Joplin
2701 N Main St MO 64801,37.114956,-94.50954399999999,1.0,range_interpolation,2701.0,N Main St,,,Joplin,MO,Jasper County,64801,US,TIGER/Line® dataset from the US Census Bureau
101 N Range Line Rd MO 64801,37.090685,-94.47699300000001,1.0,range_interpolation,101.0,N Range Line Rd,,,Joplin,MO,Jasper County,64801,US,TIGER/Line® dataset from the US Census Bureau
1123 S Range Line Rd MO 64801,37.079136,-94.477335,1.0,range_interpolation,1123.0,S Range Line Rd,,,Joplin,MO,Jasper County,64801,US,TIGER/Line® dataset from the US Census Bureau
3330 N Range Line Rd MO 64801,37.118959000000004,-94.475985,1.0,range_interpolation,3330.0,N Range Line Rd,,,Joplin,MO,Jasper County,64801,US,TIGER/Line® dataset from the US Census Bureau
2731 S Main St MO 64804,37.060157000000004,-94.514191,1.0,rooftop,2731.0,S Main St,,,Joplin,MO,Jasper County,64804,US,City of Joplin
1501 S Range Line Rd MO 64804,37.073063,-94.477141,0.84,nearest_rooftop_match,1531.0,S Range Line Rd,,,Joplin,MO,Jasper County,64804,US,City of Joplin
4436 Highway 43 MO 64804,37.053437,-94.514813,0.6,street_center,,I-44 Business,,,Joplin,MO,Newton County,64804,US,TIGER/Line® dataset from the US Census Bureau
3140 Mc Clelland Blvd MO 64804,37.055898,-94.53275500000001,1.0,range_interpolation,3140.0,Mc Clelland Blvd,,,Joplin,MO,Jasper County,64804,US,TIGER/Line® dataset from the US Census Bureau
1907 E 20th St MO 64804,37.069705,-94.493611,1.0,rooftop,1907.0,E 20th St,,,Joplin,MO,Jasper County,64804,US,City of Joplin
1100 Main St MO 64105,39.100563,-94.583561,1.0,rooftop,1100.0,Main St,,,Kansas City,MO,Jackson County,64105,US,Jackson
2301 Holmes St MO 64108,39.084213,-94.575255,1.0,rooftop,2301.0,Holmes St,,,Kansas City,MO,Jackson County,64108,US,City of Kansas City
3255 Main St MO 64111,39.066988,-94.585132,1.0,rooftop,3255.0,Main St,,,Kansas City,MO,Jackson County,64111,US,Jackson
3741 Broadway St MO 64111,39.059615,-94.59045400000001,1.0,range_interpolation,3741.0,Broadway St,,,Kansas City,MO,Jackson County,64111,US,TIGER/Line® dataset from the US Census Bureau
500 Nichols Rd MO 64112,39.041656,-94.59431500000001,1.0,rooftop,500.0,Nichols Rd,,,Kansas City,MO,Jackson County,64112,US,Jackson
7887 State Line Rd MO 64114,38.986046,-94.607744,1.0,rooftop,7887.0,State Line Rd,,,Kansas City,MO,Jackson County,64114,US,Jackson
1300 W 103rd St MO 64114,38.942316,-94.607303,1.0,rooftop,1300.0,W 103rd St,,,Kansas City,MO,Jackson County,64114,US,Jackson
8326 Wornall Rd MO 64114,38.976337,-94.59536,1.0,rooftop,8326.0,Wornall Rd,,,Kansas City,MO,Jackson County,64114,US,Jackson
4002 N Oak Trfy MO 64116,39.167448,-94.57746800000001,1.0,rooftop,4002.0,N Oak Trfy,,,Kansas City,MO,Clay County,64116,US,City of Kansas City
2200 Vernon St MO 64116,39.146868,-94.55636700000001,1.0,range_interpolation,2200.0,Vernon St,,,Kansas City,MO,Clay County,64116,US,TIGER/Line® dataset from the US Census Bureau
4400 N Chouteau Trfy MO 64117,39.1731,-94.535263,1.0,range_interpolation,4400.0,N Chouteau Trfy,,,Kansas City,MO,Clay County,64117,US,TIGER/Line® dataset from the US Census Bureau
7412 N Oak Trfy MO 64118,39.228559000000004,-94.576229,1.0,range_interpolation,7412.0,N Oak Trfy,,,Kansas City,MO,Clay County,64118,US,TIGER/Line® dataset from the US Census Bureau
6305 N Antioch Rd MO 64119,39.20843,-94.54832900000001,1.0,range_interpolation,6305.0,N Antioch Rd,,,Kansas City,MO,Clay County,64119,US,TIGER/Line® dataset from the US Census Bureau
290 Us 69 MO 64119,39.199958,-94.50003000000001,1.0,range_interpolation,290.0,US Hwy 69,,,Kansas City,MO,Clay County,64119,US,TIGER/Line® dataset from the US Census Bureau
7207 N Hwy M1 MO 64119,39.227657,-94.545053,0.3,street_center,,N Indiana Ave,,,Kansas City,MO,Clay County,64119,US,TIGER/Line® dataset from the US Census Bureau
6701 E Front St MO 64120,39.129752,-94.503562,1.0,rooftop,6701.0,E Front St,,,Kansas City,MO,Jackson County,64120,US,Jackson
5347 Independence Ave MO 64124,39.10502,-94.519696,1.0,rooftop,5347.0,Independence Ave,,,Kansas City,MO,Jackson County,64124,US,Jackson
1421 Prospect Ave MO 64127,39.095496000000004,-94.551194,1.0,rooftop,1421.0,Prospect Ave,,,Kansas City,MO,Jackson County,64127,US,Jackson
3051 Van Brunt Blvd MO 64128,39.069225,-94.520122,1.0,rooftop,3051.0,Van Brunt Blvd,,,Kansas City,MO,Jackson County,64128,US,Jackson
6996 Eastwood Trfy MO 64129,39.031296000000005,-94.503578,1.0,rooftop,6996.0,Eastwood Trfy,,,Kansas City,MO,Jackson County,64129,US,Jackson
6406 Troost Ave MO 64131,39.011065,-94.575159,1.0,rooftop,6406.0,Troost Ave,,,Kansas City,MO,Jackson County,64131,US,Jackson
11290 Holmes Rd MO 64131,38.921490000000006,-94.584058,1.0,rooftop,11290.0,Holmes Rd,,,Kansas City,MO,Jackson County,64131,US,Jackson
8304 Hickman Mills Dr MO 64132,38.975998,-94.55545699999999,1.0,rooftop,8304.0,Hickman Mills Dr,,,Kansas City,MO,Jackson County,64132,US,Jackson
8909 E Mo-350 MO 64133,38.997236,-94.478852,1.0,rooftop,8909.0,E M 350 Hwy,,,Kansas City,MO,Jackson County,64133,US,Jackson
4398 E 115th St MO 64137,38.917303000000004,-94.537074,1.0,range_interpolation,4398.0,E 115th St,,,Kansas City,MO,Jackson County,64137,US,TIGER/Line® dataset from the US Census Bureau
5620 E Bannister Rd MO 64137,38.95366,-94.525798,1.0,rooftop,5620.0,E Bannister Rd,,,Kansas City,MO,Jackson County,64137,US,City of Kansas City
7700 E 87th St MO 64138,38.966649,-94.49867900000001,1.0,rooftop,7700.0,E 87th St,,,Raytown,MO,Jackson County,64138,US,Jackson
13100 Mo-350 MO 64139,38.965678000000004,-94.42841700000001,0.85,rooftop,13100.0,Blue Pkwy,,,Kansas City,MO,Jackson County,64138,US,City of Kansas City
13301 State Line Rd MO 64145,38.886239,-94.607394,1.0,rooftop,13301.0,State Line Rd,,,Kansas City,MO,Jackson County,64145,US,Jackson
5353 Nw 64th St MO 64151,39.209955,-94.64222099999999,1.0,rooftop,5353.0,NW 64th St,,,Kansas City,MO,Platte County,64151,US,City of Kansas City
